title,RAM,storage,color,model_no,deal_price,org_price,discount,rating,no_of_ratings,battery,processor_brand,os,processor_core,camera,warranty
"realme GT 6 (Fluid Silver, 512 GB)  (16 GB RAM)",16 GB,512 GB,Fluid Silver,RMX3851,37999,51999,26% off,4.5,"4,244 Ratings & 485 Reviews",5500 mAh,Snapdragon,Android 15,Octa Core,50MP + 8MP + 50MP,1 Year
"vivo Y200 5G (Jungle Green, 256 GB)  (8 GB RAM)",8 GB,256 GB,Jungle Green,V2307,17825,28999,38% off,4.4,"3,282 Ratings & 218 Reviews",4800 mAh,Snapdragon,Android 13,Octa Core,64MP + 2MP,1 Year
"realme NARZO 70X 5G (ICE BLUE, 128 GB)  (6 GB RAM)",6 GB,128 GB,ICE BLUE,RMX3998,15774,17999,12% off,4.3,"4,948 Ratings & 207 Reviews",5000 mAh,Mediatek,Android ANDROID 14,Octa Core,50MP Rear Camera,1 Year
"vivo V29e 5G (Artistic Blue, 128 GB)  (8 GB RAM)",8 GB,128 GB,Artistic Blue,V2303,25899,31999,19% off,4.4,"20,369 Ratings & 1,753 Reviews",5000 mAh,Snapdragon,Android 13,Octa Core,64MP + 8MP,1 Year
"IQOO 12 5G (Legend, 256 GB)  (12 GB RAM)",12 GB,256 GB,Legend,I2220,47895,59999,20% off,4.6,27 Ratings & 2 Reviews,5000 mAh,Snapdragon,Android 14,Octa Core,50MP Rear Camera,1 Year
"itel A80 (Sandstone Black, 128 GB)  (4 GB RAM)",4 GB,128 GB,Sandstone Black,A671LC,7890,8999,12% off,4.1,222 Ratings & 8 Reviews,5000 mAh,Unisoc,Android 14,Octa Core,50MP Rear Camera,1 Year
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio  (Charcoal)",32 MB,32 MB,Charcoal,TA-1575,1099,1699,35% off,4,"1,44,633 Ratings & 8,890 Reviews",1000 mAh,Spreadtrum,N/A,N/A,0MP,1 Year
"POCO M6 Plus 5G (Misty Lavender, 128 GB)  (6 GB RAM)",6 GB,128 GB,Misty Lavender,MZB0HKIIN,10499,15999,34% off,4.2,"33,955 Ratings & 2,099 Reviews",5030 mAh,Snapdragon,Android 14,Octa Core,108MP + 2MP,1 Year
"SAMSUNG Galaxy A36 5G (Awesome White, 256 GB)  (8 GB RAM)",8 GB,256 GB,Awesome White,SM-A366EZAKINS,33999,38999,12% off,4.4,90 Ratings & 6 Reviews,5000 mAh,Snapdragon,Android 15,Octa Core,50MP + 8MP,1 Year
"vivo T2x 5G (Marine Blue, 128 GB)  (6 GB RAM)",6 GB,128 GB,Marine Blue,V2253|V2312,12999,18999,31% off,4.4,"4,50,314 Ratings & 23,701 Reviews",5000 mAh,Mediatek,Android 13,Octa Core,50MP + 2MP,1 Year
