title,RAM,storage,color,model_no,deal_price,org_price,discount,rating,no_of_ratings,battery,processor_brand,os,processor_core,camera,warranty
"REDMI A3X (Ocean Green, 64 GB)  (3 GB RAM)",3 GB,64 GB,Ocean Green,24048RN6Cl,6199,9999,38% off,4.1,"2,346 Ratings & 99 Reviews",5000 mAh,Unisoc,Android 14,Octa Core,8MP Rear Camera,1 Year
"Motorola g45 5G (Brilliant Blue, 128 GB)  (8 GB RAM)",8 GB,128 GB,Brilliant Blue,PB3W0008IN|PB3W0000IN,11999,14999,20% off,4.3,"1,31,878 Ratings & 6,983 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 2MP,1 Year
"POCO M7 5G (Satin Black, 128 GB)  (6 GB RAM)",6 GB,128 GB,Satin Black,MZB0JM4IN,9999,12999,23% off,4.2,"4,127 Ratings & 280 Reviews",5160 mAh,Snapdragon,Android 14,Octa Core,50MP Rear Camera,1 Year
"OPPO F29 Pro 5G (Marble White, 128 GB)  (8 GB RAM)",8 GB,128 GB,Marble White,CPH2705,27999,32999,15% off,4.4,141 Ratings & 15 Reviews,6000 mAh,Mediatek,Android 15,Octa Core,50MP + 2MP,1 Year
"OPPO F29 Pro 5G (Granite Black, 256 GB)  (12 GB RAM)",12 GB,256 GB,Granite Black,CPH2705,31999,36999,13% off,4.2,16 Ratings & 4 Reviews,6000 mAh,Mediatek,Android 15,Octa Core,50MP + 2MP,1 Year
"SAMSUNG Galaxy A16 5G (Blue Black, 128 GB)  (8 GB RAM)",8 GB,128 GB,Blue Black,SM-A166P,16320,21499,24% off,4.2,"1,767 Ratings & 122 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 5MP + 2MP,1 Year
"SAMSUNG A14 5G (Light Green, 128 GB)  (6 GB RAM)",6 GB,128 GB,Light Green,SM-A146BLGHINS,11999,20999,42% off,4.2,"20,024 Ratings & 946 Reviews",5000 mAh,Exynos,Android 13,Octa Core,50MP + 2MP + 2MP,1 Year
"POCO X6 Neo 5G (Horizon Blue, 256 GB)  (12 GB RAM)",12 GB,256 GB,Horizon Blue,MZB0GGSIN,17999,21999,18% off,4.2,"14,751 Ratings & 1,086 Reviews",5000 mAh,Mediatek,Android 13,Octa Core,108MP + 2MP,1 Year
"REDMI Note 14 Pro+ 5G (Phantom Purple, 512 GB)  (12 GB RAM)",12 GB,512 GB,Phantom Purple,24115RA8EI,34999,39999,12% off,4.4,"1,151 Ratings & 136 Reviews",6200 mAh,Snapdragon,Android 14,Octa Core,50MP + 50MP + 8MP,1 Year
"realme C53 (Champion Gold, 128 GB)  (6 GB RAM)",6 GB,128 GB,Champion Gold,RMX3762,11999,13999,14% off,4.4,"1,34,869 Ratings & 5,947 Reviews",5000 mAh,Unisoc,Android 13,Octa Core,108MP + 2MP,1 Year
Jio Bharat V3  (Black),36 MB,36 MB,Black,JBV191M1,899,1899,52% off,3.8,532 Ratings & 37 Reviews,1000 mAh,NA,1,N/A,0.3MP Rear Camera,1 Year
Snexian GURU 4G  (Blue),32 MB,32 MB,Blue,GURU 4G,1590,2499,36% off,3.7,32 Ratings & 4 Reviews,2500 mAh,NA,1,N/A,0.3MP Rear Camera,1 Year
"REDMI 12 5G (Moonstone Silver, 128 GB)  (4 GB RAM)",4 GB,128 GB,Moonstone Silver,MZB0F1GIN,11999,15999,25% off,4.3,"12,755 Ratings & 589 Reviews",5000 mAh,Snapdragon,Android 13,Octa Core,50MP + 2MP,1 Year
"REDMI 14C 5G (Stardust Purple, 64 GB)  (4 GB RAM)",4 GB,64 GB,Stardust Purple,2411DRN47I,9499,12999,26% off,4.2,775 Ratings & 52 Reviews,5160 mAh,Snapdragon,Android 14,Octa Core,50MP Rear Camera,1 Year
Lvix L1 FLIP 1  (Blue),16 MB,32 MB,Blue,L1 FLIP 1,1299,2999,56% off,3.7,89 Ratings & 3 Reviews,2000 mAh,NA,0,N/A,0.3MP Rear Camera,1 Year
"MOTOROLA Razr 50 (Beach Sand, 256 GB)  (8 GB RAM)",8 GB,256 GB,Beach Sand,XT2453-1,54999,74999,26% off,4.2,5 Ratings & 0 Reviews,4200 mAh,Mediatek,Android Q Android 14,Octa Core,50MP Rear Camera,1 Year
"Motorola E7 Power (Coral Red, 64 GB)  (4 GB RAM)",4 GB,64 GB,Coral Red,PAMH0001IN / PAMH0010IN / PAMH0019IN,8990,11998,25% off,4.1,"85,086 Ratings & 7,391 Reviews",5000 mAh,Mediatek,Android 10,Octa Core,13MP + 2MP,1 Year
"realme GT 7 Pro (Mars Orange, 256 GB)  (12 GB RAM)",12 GB,256 GB,Mars Orange,GT 7 Pro,54999,69999,21% off,4.7,6 Ratings & 2 Reviews,5800 mAh,Snapdragon,Android Oxygen 15,Octa Core,50MP Rear Camera,1 Year
itel Power 120 | 2 inch Big Display | 2500 mAh Battery | Kingvoice  (Light Blue),4 MB,4 MB,Light Blue,P120,1248,1599,21% off,4.2,568 Ratings & 40 Reviews,2500 mAh,Unisoc,N/A,Single Core,0.3MP + 0MP,1 Year
"OPPO 12 Pro 5G (Manish Malhotra Limited Edition, 256 GB)  (12 GB RAM)",12 GB,256 GB,Manish Malhotra Limited Edition,CPH2629,36999,53999,31% off,4.5,350 Ratings & 29 Reviews,5000 mAh,Mediatek,Android 14,Octa Core,50MP + 8MP + 50MP,1 Year
"SAMSUNG Galaxy A26 5G (Awesome Black, 128 GB)  (8 GB RAM)",8 GB,128 GB,Awesome Black,SM-A266BZKKINS,24999,27999,10% off,3.8,42 Ratings & 11 Reviews,5000 mAh,Exynos,Android 15,Octa Core,50MP + 8MP,1 Year
"realme P1 Speed 5G (Textured Titanium, 128 GB)  (8 GB RAM)",8 GB,128 GB,Textured Titanium,RMX5004,17999,20999,14% off,4.3,"2,057 Ratings & 238 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 2MP,1 Year
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)  (8 GB RAM)",8 GB,128 GB,Electric Black,SM-E346BZKHINS,18999,25999,26% off,4.2,"8,357 Ratings & 594 Reviews",6000 mAh,Exynos,Android 13,Octa Core,50MP (OIS) + 8MP + 2MP,1 Year
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)  (6 GB RAM)",6 GB,128 GB,Breeze Blue,CPH2667,12999,16999,23% off,4.5,"1,52,955 Ratings & 5,498 Reviews",5100 mAh,Mediatek,Android 14,Octa Core,32MP + 2MP,1 Year
"itel A27 (Silver Purple, 32 GB)  (2 GB RAM)",2 GB,32 GB,Silver Purple,A551L,5540,6999,20% off,4,"1,093 Ratings & 70 Reviews",4000 mAh,Unisoc,Android 11,Quad Core,2MP Rear Camera,1 Year
"realme GT 7 Pro (Mars Orange, 512 GB)  (16 GB RAM)",16 GB,512 GB,Mars Orange,GT 7 Pro,59999,74999,20% off,4.9,7 Ratings & 0 Reviews,5800 mAh,Snapdragon,Android Oxygen 15,Octa Core,50MP Rear Camera,1 Year
Nokia 216 DS  (Black),16 MB,NA,Black,RM-1187 / A00028295,1799,2599,30% off,4.2,"33,277 Ratings & 3,366 Reviews",1020 mAh,NA,Symbian Series 30,N/A,0.3MP Rear Camera,0 Months
itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice  (Blue),32 MB,32 MB,Blue,it5361,1495,1799,16% off,4.1,"9,606 Ratings & 596 Reviews",1900 mAh,Unisoc,N/A,Single Core,0.8MP + 0MP,13 Months
"POCO C55 (Power Black, 64 GB)  (4 GB RAM)",4 GB,64 GB,Power Black,MZB0DDLIN,9499,11999,20% off,4.2,"1,31,358 Ratings & 7,597 Reviews",5000 mAh,Mediatek,Android 12,Octa Core,50MP Dual Rear Camera,1 Year
"vivo T2 5G (Nitro Blaze, 128 GB)  (6 GB RAM)",6 GB,128 GB,Nitro Blaze,V2240,15999,23999,33% off,4.4,"1,13,626 Ratings & 7,185 Reviews",4500 mAh,Snapdragon,Android 13,Octa Core,64 MP (OIS) + 2MP,1 Year
Kechaoda K120  (Black),32 GB,32 GB,Black,K120,1199,2130,43% off,4,153 Ratings & 17 Reviews,2500 mAh,NVIDIA,00,N/A,1.3MP Rear Camera,1 Year
"IQOO Z7 Pro 5G (Blue Lagoon, 256 GB)  (8 GB RAM)",8 GB,256 GB,Blue Lagoon,I2301,21999,27999,21% off,4.4,"10,089 Ratings & 611 Reviews",4600 mAh,Mediatek,Android 13,Octa Core,64MP + 2MP,1 Year
"realme 12 Pro 5G (Navigator Beige, 256 GB)  (8 GB RAM)",8 GB,256 GB,Navigator Beige,RMX3842,20999,31999,34% off,4.4,"33,214 Ratings & 2,858 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 8MP + 32MP,1 Year
"LAVA Blaze X 5G (Titanium Grey, 128 GB)  (6 GB RAM)",6 GB,128 GB,Titanium Grey,Blaze X 5G,16199,17999,10% off,4.1,169 Ratings & 12 Reviews,5000 mAh,Mediatek,Android Q Android 14,Octa Core,64MP Rear Camera,1 Year
"realme 14x 5G (Crystal Black, 128 GB)  (6 GB RAM)",6 GB,128 GB,Crystal Black,RMX3940,14999,16999,11% off,4.4,"5,416 Ratings & 263 Reviews",6000 mAh,Mediatek,Android 14,Octa Core,50MP Rear Camera,1 Year
"Apple iPhone 13 (Blue, 128 GB)",N/A,128 GB,Blue,MLPK3HN/A,44999,49900,9% off,4.6,"1,90,871 Ratings & 9,686 Reviews",3240 mAh,Apple,iOS 15,Hexa Core,12MP + 12MP,1 Year
"IQOO Z9s 5G (Onyx Green, 128 GB)  (8 GB RAM)",8 GB,128 GB,Onyx Green,Z9s / I2403,19155,25999,26% off,4.4,"3,706 Ratings & 242 Reviews",5500 mAh,Mediatek,Android 14,Octa Core,50MP Rear Camera,1 Year
"realme C63 (Jade Green, 64 GB)  (4 GB RAM)",4 GB,64 GB,Jade Green,RMX3939,8499,9999,15% off,4.3,"10,489 Ratings & 535 Reviews",5000 mAh,Unisoc,Android 14,Octa Core,50MP Rear Camera,1 Year
"Nothing Phone (3a) (Blue, 256 GB)  (8 GB RAM)",8 GB,256 GB,Blue,A059,26999,29999,10% off,4.5,"10,540 Ratings & 1,197 Reviews",5000 mAh,Snapdragon,Android 15,Octa Core,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide),1 Year
"REDMI 13 5G (Hawaiian Blue, 128 GB)  (6 GB RAM)",6 GB,128 GB,Hawaiian Blue,2406ERN9CI,12093,17999,32% off,4.3,"29,366 Ratings & 1,546 Reviews",5030 mAh,Snapdragon,Android Android 14,Octa Core,108MP Rear Camera,1 Year
"Motorola g45 5G (Brilliant Green, 128 GB)  (4 GB RAM)",4 GB,128 GB,Brilliant Green,PB3W15I|PB3W0005IN,9999,12999,23% off,4.3,"33,610 Ratings & 2,168 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 2MP,1 Year
"realme C61 (Marble Black, 64 GB)  (4 GB RAM)",4 GB,64 GB,Marble Black,RMX3933,7699,8999,14% off,4.3,"5,591 Ratings & 227 Reviews",5000 mAh,Unisoc,Android 14,Octa Core,32MP Rear Camera,1 Year
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)  (12 GB RAM)",12 GB,256 GB,Marshmallow Blue,PB300005IN|PB300014IN,24999,27999,10% off,4.4,"1,34,257 Ratings & 9,439 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 13MP,1 Year
"Infinix Hot 50 5G (Sleek Black, 128 GB)  (4 GB RAM)",4 GB,128 GB,Sleek Black,X6720,9499,12999,26% off,4.3,"4,223 Ratings & 336 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,48MP + Depth Sensor,1 Year
"Infinix Hot 50 5G (Sleek Black, 128 GB)  (8 GB RAM)",8 GB,128 GB,Sleek Black,X6720,10499,14999,30% off,4.4,"14,065 Ratings & 1,039 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,48MP + Depth Sensor,1 Year
"SAMSUNG Galaxy F06 5G (Lit Violet, 128 GB)  (6 GB RAM)",6 GB,128 GB,Lit Violet,SM-E066BZVHINS,10699,15499,30% off,4.1,"1,549 Ratings & 155 Reviews",5000 mAh,Mediatek,Android 15,Octa Core,50MP + 2MP,1 Year
"POCO M7 5G (Mint Green, 128 GB)  (6 GB RAM)",6 GB,128 GB,Mint Green,MZB0JM5IN,9999,12999,23% off,4.2,"4,127 Ratings & 280 Reviews",5160 mAh,Snapdragon,Android 14,Octa Core,50MP Rear Camera,1 Year
"Motorola g45 5G (Pink Lavender, 128 GB)  (4 GB RAM)",4 GB,128 GB,Pink Lavender,PB3W0017IN|PB3W0007IN,9999,12999,23% off,4.3,"33,610 Ratings & 2,168 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 2MP,1 Year
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)  (8 GB RAM)",8 GB,256 GB,Peach Fuzz,PB2W0002IN,21999,32999,33% off,4.3,"28,621 Ratings & 2,123 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 13MP + 10MP,1 Year
"Apple 13 (Midnight, 128 GB)",N/A,128 GB,Midnight,MLPF3HN/A,44999,49900,9% off,4.6,"98,075 Ratings & 4,148 Reviews",3240 mAh,Apple,iOS 15,Hexa Core,12MP + 12MP,1 Year
"Motorola g64 5G (Pearl Blue, 128 GB)  (8 GB RAM)",8 GB,128 GB,Pearl Blue,PB2E0002IN,12999,17999,27% off,4.3,"50,113 Ratings & 3,171 Reviews",6000 mAh,Mediatek,Android 14,Octa Core,50MP (OIS) + 8MP,1 Year
"realme C65 5G (Feather Green, 128 GB)  (6 GB RAM)",6 GB,128 GB,Feather Green,RMX3997,11999,15999,25% off,4.3,"12,718 Ratings & 528 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP Rear Camera,1 Year
"POCO M7 5G (Mint Green, 128 GB)  (8 GB RAM)",8 GB,128 GB,Mint Green,MZB0IDMIN,10999,13999,21% off,4.2,741 Ratings & 54 Reviews,5160 mAh,Snapdragon,Android 14,Octa Core,50MP Rear Camera,1 Year
"MOTOROLA g05 (Forest Green, 64 GB)  (4 GB RAM)",4 GB,64 GB,Forest Green,PB790000IN,7299,9999,27% off,4.3,"17,845 Ratings & 1,450 Reviews",5200 mAh,Mediatek,Android 15,Octa Core,50MP Rear Camera,1 Year
"REDMI A3X (Midnight Black, 128 GB)  (4 GB RAM)",4 GB,128 GB,Midnight Black,24048RN6Cl,6999,10999,36% off,4.2,"1,527 Ratings & 78 Reviews",5000 mAh,Unisoc,Android 14,Octa Core,8MP Rear Camera,1 Year
"Nothing Phone (3a) Pro (Black, 256 GB)  (8 GB RAM)",8 GB,256 GB,Black,A059P,31999,34999,8% off,4.5,"1,961 Ratings & 243 Reviews",5000 mAh,Snapdragon,Android 15,Octa Core,50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide),1 Year
"realme P2 Pro 5G (Parrot Green, 256 GB)  (12 GB RAM)",12 GB,256 GB,Parrot Green,RMX3987,19999,27999,28% off,4.4,"11,031 Ratings & 898 Reviews",5200 mAh,Snapdragon,Android 14,Octa Core,50MP + 8MP,1 Year
"Apple iPhone 13 (Blue, 128 GB)",N/A,128 GB,Blue,MLPK3HN/A,44999,49900,9% off,4.6,"1,90,871 Ratings & 9,686 Reviews",3240 mAh,Apple,iOS 15,Hexa Core,12MP + 12MP,1 Year
"Apple iPhone 16 (Black, 256 GB)",N/A,256 GB,Black,MYEE3HN/A,79999,89900,11% off,4.6,"7,249 Ratings & 344 Reviews",N/A,Apple,iOS 18,Hexa Core,48MP + 12MP,1 Year
"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",N/A,256 GB,Desert Titanium,MYNK3HN/A,122900,129900,5% off,4.7,"1,272 Ratings & 75 Reviews",N/A,Apple,iOS 18,Hexa Core,48MP + 48MP + 12MP,1 Year
"Apple iPhone 16 Pro (Desert Titanium, 128 GB)",N/A,128 GB,Desert Titanium,MYNF3HN/A,112900,119900,5% off,4.7,"1,272 Ratings & 75 Reviews",N/A,Apple,iOS 18,Hexa Core,48MP + 48MP + 12MP,1 Year
"REDMI A3X (Ocean Green, 64 GB)  (3 GB RAM)",3 GB,64 GB,Ocean Green,24048RN6Cl,6199,9999,38% off,4.1,"2,346 Ratings & 99 Reviews",5000 mAh,Unisoc,Android 14,Octa Core,8MP Rear Camera,1 Year
"Infinix Note 40X 5G (Palm Blue, 256 GB)  (12 GB RAM)",12 GB,256 GB,Palm Blue,X6838,13999,21999,36% off,4.3,"28,220 Ratings & 1,938 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,108MP + 2MP + AI Lens,1 Year
"Motorola G85 5G (Olive Green, 128 GB)  (8 GB RAM)",8 GB,128 GB,Olive Green,PB2B0001IN|PB2B0013IN,16999,20999,19% off,4.4,"1,59,990 Ratings & 8,619 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 8MP,1 Year
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio  (Cyan)",32 MB,32 MB,Cyan,TA-1575 SS,1182,1599,26% off,4,"1,44,633 Ratings & 8,890 Reviews",1000 mAh,NA,N/A,N/A,0MP,1 Year
"realme 70 TURBO 5G (Turbo Purple, 128 GB)  (8 GB RAM)",8 GB,128 GB,Turbo Purple,RMX5003,15464,20999,26% off,4.4,"1,308 Ratings & 86 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP Rear Camera,1 Year
"realme C61 (Safari Green, 64 GB)  (4 GB RAM)",4 GB,64 GB,Safari Green,RMX3933,7699,8999,14% off,4.3,"5,591 Ratings & 227 Reviews",5000 mAh,Unisoc,Android 14,Octa Core,32MP Rear Camera,1 Year
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)  (12 GB RAM)",12 GB,256 GB,Forest Blue,PB300003IN|PB300012IN,24999,27999,10% off,4.4,"1,34,257 Ratings & 9,439 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 13MP,1 Year
"Apple iPhone 16 Plus (Black, 512 GB)",N/A,512 GB,Black,MY1P3HN/A,109999,119900,8% off,4.6,768 Ratings & 46 Reviews,N/A,Apple,iOS 18,Hexa Core,48MP + 12MP,1 Year
"Apple 16 Pro (Desert Titanium, 512 GB)",N/A,512 GB,Desert Titanium,MYNP3HN/A,142900,149900,4% off,4.8,17 Ratings & 0 Reviews,N/A,Apple,iOS 18,Hexa Core,48MP + 48MP + 12MP,1 Year
"Apple iPhone 16 Plus (Black, 256 GB)",N/A,256 GB,Black,MXWN3HN/A,89999,99900,9% off,4.6,768 Ratings & 46 Reviews,N/A,Apple,iOS 18,Hexa Core,48MP + 12MP,1 Year
"vivo T3 Ultra (Frost Green, 256 GB)  (12 GB RAM)",12 GB,256 GB,Frost Green,V2426,33999,39999,15% off,4.5,"6,952 Ratings & 578 Reviews",5500 mAh,Mediatek,Android 14,Octa Core,50MP + 8MP,1 Year
"realme 70 5G (Turbo Yellow, 128 GB)  (8 GB RAM)",8 GB,128 GB,Turbo Yellow,RMX5003,15350,20999,26% off,4.4,"1,235 Ratings & 119 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP Rear Camera,1 Year
"vivo T4x 5G (Pronto Purple, 256 GB)  (8 GB RAM)",8 GB,256 GB,Pronto Purple,V2437,16999,20999,19% off,4.5,"15,119 Ratings & 995 Reviews",6500 mAh,Mediatek,Android 15,Octa Core,50MP + 2MP,1 Year
"Nothing Phone (3a) (Blue, 256 GB)  (8 GB RAM)",8 GB,256 GB,Blue,A059,26999,29999,10% off,4.5,"10,540 Ratings & 1,197 Reviews",5000 mAh,Snapdragon,Android 15,Octa Core,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide),1 Year
"SAMSUNG S24 5G (Onyx Black, 256 GB)  (8 GB RAM)",8 GB,256 GB,Onyx Black,SM-S921BZKCINS,70999,79999,11% off,4.5,489 Ratings & 52 Reviews,4000 mAh,Exynos,Android 14,Deca Core,50MP + 10MP + 12MP,1 Year
"Nothing Phone (3a) (White, 256 GB)  (8 GB RAM)",8 GB,256 GB,White,A059,26999,29999,10% off,4.5,"10,540 Ratings & 1,197 Reviews",5000 mAh,Snapdragon,Android 15,Octa Core,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide),1 Year
"Apple 16 Plus (Black, 128 GB)",N/A,128 GB,Black,MXVU3HN/A,79999,89900,11% off,4.6,915 Ratings & 50 Reviews,N/A,Apple,iOS 18,Hexa Core,48MP + 12MP,1 Year
"Motorola g64 5G (Berry Red, 128 GB)  (8 GB RAM)",8 GB,128 GB,Berry Red,PB2E0008IN,12999,17999,27% off,4.3,"50,113 Ratings & 3,171 Reviews",6000 mAh,Mediatek,Android 14,Octa Core,50MP (OIS) + 8MP,1 Year
"Apple iPhone 16 (Pink, 128 GB)",N/A,128 GB,Pink,MYEA3HN/A,69999,79900,12% off,4.6,"7,249 Ratings & 344 Reviews",N/A,Apple,iOS 18,Hexa Core,48MP + 12MP,1 Year
"REDMI A3X (Midnight Black, 64 GB)  (3 GB RAM)",3 GB,64 GB,Midnight Black,24048RN6Cl,6199,9999,38% off,4.1,"2,346 Ratings & 99 Reviews",5000 mAh,Unisoc,Android 14,Octa Core,8MP Rear Camera,1 Year
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 256 GB)  (8 GB RAM)",8 GB,256 GB,Feather Pink,CPH2667,15999,18999,15% off,4.4,"18,839 Ratings & 837 Reviews",5100 mAh,Mediatek,Android 14,Octa Core,32MP + 2MP,1 Year
"Infinix Note 40X 5G (Lime Green, 256 GB)  (12 GB RAM)",12 GB,256 GB,Lime Green,X6838,13999,21999,36% off,4.3,"28,220 Ratings & 1,938 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,108MP + 2MP + AI Lens,1 Year
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)  (8 GB RAM)",8 GB,128 GB,SUPER SILVER,CPH2619,16520,20999,21% off,4.4,"14,149 Ratings & 699 Reviews",5500 mAh,Qualcomm,Android Oxygen,Octa Core,50MP Rear Camera,1 Year
"realme P1 5G (Feather Blue, 256 GB)  (8 GB RAM)",8 GB,256 GB,Feather Blue,RMX3870,15999,22999,30% off,4.4,"48,315 Ratings & 2,691 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 2MP,1 Year
"realme P2 Pro 5G (Parrot Green, 128 GB)  (8 GB RAM)",8 GB,128 GB,Parrot Green,RMX3987,18999,25999,26% off,4.4,"10,823 Ratings & 782 Reviews",5200 mAh,Snapdragon,Android 14,Octa Core,50MP + 8MP,1 Year
"Nothing Phone (3a) Pro (Grey, 128 GB)  (8 GB RAM)",8 GB,128 GB,Grey,A059P,29999,32999,9% off,4.5,"1,961 Ratings & 243 Reviews",5000 mAh,Snapdragon,Android 15,Octa Core,50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide),1 Year
"realme P2 Pro 5G (Eagle Grey, 512 GB)  (12 GB RAM)",12 GB,512 GB,Eagle Grey,RMX3987,22999,30999,25% off,4.4,"11,031 Ratings & 898 Reviews",5200 mAh,Snapdragon,Android 14,Octa Core,50MP + 8MP,1 Year
"POCO M7 5G (Mint Green, 128 GB)  (8 GB RAM)",8 GB,128 GB,Mint Green,MZB0IDMIN,10999,13999,21% off,4.2,741 Ratings & 54 Reviews,5160 mAh,Snapdragon,Android 14,Octa Core,50MP Rear Camera,1 Year
"OnePlus Nord CE4 lite 5G (ULTRA ORANGE, 128 GB)  (8 GB RAM)",8 GB,128 GB,ULTRA ORANGE,CPH2619,16527,20999,21% off,4.4,"14,149 Ratings & 699 Reviews",5500 mAh,Qualcomm,Android Oxygen,Octa Core,50MP Rear Camera,1 Year
"CMF by Nothing Phone 1 (Orange, 128 GB)  (6 GB RAM)",6 GB,128 GB,Orange,A015,15999,19999,20% off,4.4,"71,435 Ratings & 5,099 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 2MP,1 Year
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)  (8 GB RAM)",8 GB,128 GB,Hot Pink,PB300001IN|PB300009IN,22999,25999,11% off,4.5,"1,08,019 Ratings & 7,164 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 13MP,1 Year
"CMF by Nothing Phone 1 (Black, 128 GB)  (6 GB RAM)",6 GB,128 GB,Black,A015,15999,19999,20% off,4.4,"71,435 Ratings & 5,099 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 2MP,1 Year
"vivo T4x 5G (Marine Blue, 128 GB)  (6 GB RAM)",6 GB,128 GB,Marine Blue,V2437,13999,17999,22% off,4.5,"17,512 Ratings & 1,183 Reviews",6500 mAh,Mediatek,Android 15,Octa Core,50MP + 2MP,1 Year
"Nothing Phone (2a) 5G (Special Edition, 256 GB)  (12 GB RAM)",12 GB,256 GB,Special Edition,A142,25999,29999,13% off,4.4,"13,999 Ratings & 1,128 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP (OIS) + 50MP,1 Year
"LAVA Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB  (Black, Gold)",4 MB,4 MB,"Black, Gold",LF1008,980,1399,29% off,4.1,"3,665 Ratings & 179 Reviews",1000 mAh,NA,N/A,N/A,,1 Year
"realme P1 5G (Peacock Green, 256 GB)  (8 GB RAM)",8 GB,256 GB,Peacock Green,RMX3870,15999,22999,30% off,4.4,"48,315 Ratings & 2,691 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 2MP,1 Year
"realme P2 Pro 5G (Eagle Grey, 128 GB)  (8 GB RAM)",8 GB,128 GB,Eagle Grey,RMX3987,18999,25999,26% off,4.4,"10,823 Ratings & 782 Reviews",5200 mAh,Snapdragon,Android 14,Octa Core,50MP + 8MP,1 Year
"SAMSUNG Galaxy S24 FE 5G (Blue, 256 GB)  (8 GB RAM)",8 GB,256 GB,Blue,SM-S721B,47999,65999,27% off,4.5,732 Ratings & 61 Reviews,4700 mAh,Exynos,Android 14,Deca Core,50MP + 12MP,1 Year
"Google Pixel 8a (Bay, 128 GB)  (8 GB RAM)",8 GB,128 GB,Bay,GA05570-IN,37999,52999,28% off,4.3,"4,010 Ratings & 355 Reviews",4404 mAh,Google,Android 14,N/A,64MP + 13MP,1 Year
"CMF by Nothing Phone 1 (Light Green, 128 GB)  (6 GB RAM)",6 GB,128 GB,Light Green,A015,15999,19999,20% off,4.4,"71,435 Ratings & 5,099 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 2MP,1 Year
"realme P1 5G (Peacock Green, 128 GB)  (8 GB RAM)",8 GB,128 GB,Peacock Green,RMX3870,14999,21999,31% off,4.4,"48,315 Ratings & 2,691 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 2MP,1 Year
"SAMSUNG Galaxy A05 (Black, 128 GB)  (6 GB RAM)",6 GB,128 GB,Black,SM-A055FZKHINS,8995,14999,40% off,4.2,989 Ratings & 49 Reviews,5000 mAh,Mediatek,Android 13,Octa Core,50MP + 2MP,1 Year
"SAMSUNG Galaxy S24 FE 5G (Graphite, 128 GB)  (8 GB RAM)",8 GB,128 GB,Graphite,SM-S721B,41999,59999,30% off,4.5,732 Ratings & 61 Reviews,4700 mAh,Exynos,Android 14,Deca Core,50MP + 12MP,1 Year
"MOTOROLA g05 (Forest Green, 64 GB)  (4 GB RAM)",4 GB,64 GB,Forest Green,PB790000IN,7299,9999,27% off,4.3,"17,845 Ratings & 1,450 Reviews",5200 mAh,Mediatek,Android 15,Octa Core,50MP Rear Camera,1 Year
